pk,sid,name,access,licence,group_count,individual_count,intervention_count,output_count,timecourse_count,scatter_count,title,pmid,substances
1023,PKDB00063,Turpault2009,public,open,1,0,5,282,14,0,"Pharmacokinetic assessment of a five-probe cocktail for CYPs 1A2, 2C9, 2C19, 2D6 and 3A.",20002088,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam metoprolol metoprolol metoprolol warfarin warfarin warfarin omeprazole omeprazole omeprazole
1017,PKDB00136,Tanaka2014,public,open,1,0,5,194,13,0,Simultaneous LC-MS/MS analysis of the plasma concentrations of a cocktail of 5 cytochrome P450 substrate drugs and their metabolites.,24389476,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam losartan losartan losartan exp3174 exp3174 losartan carboxylic acid (e3174) omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole dmt dextromethorphan dextromethorphan dtf dextrorphan dextrorphan
996,PKDB00054,Oh2012,public,closed,1,0,5,243,12,0,High-sensitivity liquid chromatography-tandem mass spectrometry for the simultaneous determination of five drugs and their cytochrome P450-specific probe metabolites in human plasma.,22483397,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam losartan-potassium losartan potassium losartan potassium losartan losartan losartan exp3174 exp3174 losartan carboxylic acid (e3174) omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole dmt dextromethorphan dextromethorphan dtf dextrorphan dextrorphan
897,PKDB00430,Arold2005,public,closed,7,56,6,549,12,0,"No relevant interaction with alprazolam, caffeine, tolbutamide, and digoxin by treatment with a low-hyperforin St John's wort extract.",15856409,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) alprazolam alprazolam alprazolam tolbutamide tolbutamide tolbutamide 4-hydroxytolbutamide 4-hydroxytolbutamide 4-hydroxytolbutamide digoxin digoxin digoxin st-johns-wort-extract st john's wort extract st. john's wort extract
903,PKDB00007,Barnett1990,public,closed,1,6,3,228,12,0,Pharmacokinetic determination of relative potency of quinolone inhibition of caffeine disposition.,2177401,caf caffeine caffeine (137x) pipemidic-acid pipemidic acid pipemidic acid norfloxacin norfloxacin norfloxacin
1015,PKDB00488,Syed2005,public,closed,5,0,9,198,9,0,Multiple dose pharmacokinetics of caffeine administered in chewing gum to normal healthy volunteers.,16158445,caf caffeine caffeine (137x)
982,PKDB00047,Lelo1986a,public,open,1,1,4,163,8,0,"Comparative pharmacokinetics of caffeine and its primary demethylated metabolites paraxanthine, theobromine and theophylline in man.",3756065,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x)
978,PKDB00470,Laizure2017,public,closed,3,0,2,156,8,0,Comparison of caffeine disposition following administration by oral solution (energy drink) and inspired powder (AeroShot) in human subjects.,28758694,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x)
965,PKDB00043,Jeppesen1996,public,closed,1,0,2,158,8,0,A fluvoxamine-caffeine interaction study.,8807660,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x) fluvoxamine fluvoxamine fluvoxamine
895,PKDB00428,Armani2017,public,closed,1,0,5,208,8,0,Drug Interaction Potential of Osilodrostat (LCI699) Based on Its Effect on the Pharmacokinetics of Probe Drugs of Cytochrome P450 Enzymes in Healthy Adults.,28155129,caf caffeine caffeine (137x) midazolam midazolam midazolam omeprazole omeprazole omeprazole dmt dextromethorphan dextromethorphan osilodostrat osilodostrat osilodostrat
963,PKDB00461,Holstege1989,public,closed,7,70,1,571,8,6,Correlation of caffeine elimination and Child's classification in liver cirrhosis.,2921843,albumin albumin albumin bilirubin bilirubin bilirubin galactose galactose galactose caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x)
939,PKDB00328,Darwish2008,public,closed,6,0,6,282,8,0,"Interaction profile of armodafinil with medications metabolized by cytochrome P450 enzymes 1A2, 3A4 and 2C19 in healthy subjects.",18076219,caf caffeine caffeine (137x) armodafinil armodafinil armodafinil modafinil-sulfone modafinil sulfone modafinil sulfone midazolam midazolam midazolam 1-hydroxymidazolam 1-hydroxymidazolam 1-hydroxymidazolam omeprazole omeprazole omeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole 5-hydroxyomeprazole
