model,r2,mae_ng_ml,rmse_ng_ml
Random Forest,0.35664024839717423,1022.6530006837107,1821.3864815752636
Linear Regression,0.31090668204103256,1168.4953023012708,1885.0122817106164
Gradient Boosting,0.30402373798155446,1024.5046820141204,1894.4030246410373
SVR,0.04988639256048588,1415.505059780141,2213.415433788149
